,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1041,Unlabeled 1041,Unlabeled 1041,Unlabeled 1042,Unlabeled 1042,Unlabeled 1042,Unlabeled 1043,Unlabeled 1043,Unlabeled 1043,Unlabeled 1044,Unlabeled 1044,Unlabeled 1044,Unlabeled 1045,Unlabeled 1045,Unlabeled 1045,Unlabeled 1046,Unlabeled 1046,Unlabeled 1046,Unlabeled 1047,Unlabeled 1047,Unlabeled 1047,Unlabeled 1048,Unlabeled 1048,Unlabeled 1048,Unlabeled 1049,Unlabeled 1049,Unlabeled 1049,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051,Unlabeled 1052,Unlabeled 1052,Unlabeled 1052,Unlabeled 1053,Unlabeled 1053,Unlabeled 1053
,ID,"C4310","C4310","C4310","C4380","C4380","C4380","C4390","C4390","C4390","C43A0","C43A0","C43A0","C43B0","C43B0","C43B0","C43C0","C43C0","C43C0","C43D0","C43D0","C43D0","C43E0","C43E0","C43E0","C43F0","C43F0","C43F0","C4400","C4400","C4400","C4410","C4410","C4410","C4350","C4350","C4350","C4420","C4420","C4420"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
23,0.191667,-0.370206,0.369232,-0.380896,0.057114,0.443175,-0.132310,-0.220461,0.395274,-0.294296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.373875,0.365219,-0.377033,0.053398,0.439080,-0.127900,-0.223905,0.391545,-0.290094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.377743,0.361317,-0.373030,0.049257,0.434801,-0.123623,-0.227801,0.387192,-0.285881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,-0.381716,0.357960,-0.368987,0.045227,0.429937,-0.118867,-0.231680,0.383055,-0.281208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-0.385764,0.353231,-0.364509,0.041034,0.425433,-0.114689,-0.235879,0.378689,-0.276899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,-0.389933,0.349013,-0.360065,0.036986,0.420852,-0.109856,-0.240446,0.374072,-0.272438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,-0.394524,0.344695,-0.355201,0.032360,0.415658,-0.105401,-0.244741,0.369731,-0.268032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,-0.399428,0.339943,-0.350537,0.027911,0.410841,-0.100689,-0.249350,0.364885,-0.263344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,-0.404084,0.335616,-0.345590,0.023312,0.405433,-0.096052,-0.254295,0.359818,-0.258549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,-0.409097,0.330774,-0.340823,0.018465,0.400340,-0.091660,-0.258973,0.355001,-0.253377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,-0.414584,0.325626,-0.335633,0.013214,0.394569,-0.086426,-0.264235,0.349902,-0.248468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,-0.419850,0.320374,-0.330369,0.008363,0.389458,-0.082203,-0.269680,0.344592,-0.243522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,-0.425709,0.315307,-0.324690,0.003239,0.383702,-0.077839,-0.275119,0.339108,-0.238400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.300000,-0.431600,0.309860,-0.319181,-0.001974,0.377900,-0.072580,-0.280761,0.333556,-0.232851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.308333,-0.437820,0.304463,-0.313304,-0.007312,0.372469,-0.068304,-0.286874,0.328389,-0.227432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.316667,-0.444259,0.298882,-0.307111,-0.013144,0.366361,-0.063035,-0.292893,0.322406,-0.221704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.325000,-0.450855,0.293274,-0.301024,-0.019098,0.360287,-0.058035,-0.299154,0.316808,-0.216194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.333333,-0.457503,0.287465,-0.294722,-0.024706,0.354303,-0.053671,-0.305672,0.311099,-0.210520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.341667,-0.464595,0.281714,-0.287843,-0.030660,0.348294,-0.048682,-0.312284,0.305048,-0.204313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.350000,-0.471890,0.275521,-0.281065,-0.036533,0.342276,-0.044049,-0.319223,0.299114,-0.198334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.358333,-0.479359,0.269918,-0.274126,-0.043103,0.336077,-0.039159,-0.326140,0.293128,-0.191925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.366667,-0.486992,0.263641,-0.266900,-0.049378,0.329998,-0.034139,-0.333314,0.287151,-0.185727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.375000,-0.494812,0.257454,-0.259305,-0.055806,0.323713,-0.029671,-0.340874,0.280872,-0.178929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.383333,-0.502967,0.251669,-0.251739,-0.062639,0.317600,-0.024919,-0.348496,0.274894,-0.172407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.391667,-0.511247,0.245460,-0.243902,-0.069475,0.311400,-0.019592,-0.356133,0.268801,-0.165504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.400000,-0.519666,0.239311,-0.235580,-0.075563,0.305399,-0.015021,-0.363768,0.262563,-0.158756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.408333,-0.528062,0.233069,-0.227212,-0.082635,0.299275,-0.009809,-0.371931,0.256528,-0.151548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.416667,-0.536816,0.227158,-0.218957,-0.089672,0.293143,-0.005147,-0.379822,0.250304,-0.144269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.425000,-0.545641,0.221142,-0.210485,-0.096725,0.287136,-0.000472,-0.388081,0.244363,-0.137163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.433333,-0.554668,0.214915,-0.201682,-0.103849,0.281008,0.004117,-0.396374,0.238332,-0.129854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.441667,-0.563791,0.208926,-0.192688,-0.111216,0.274940,0.009307,-0.405020,0.232152,-0.122422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.450000,-0.573031,0.203030,-0.183713,-0.118404,0.268840,0.013304,-0.413473,0.226297,-0.114929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.458333,-0.582410,0.197128,-0.174470,-0.125730,0.263237,0.017856,-0.421862,0.220325,-0.107387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0.466667,-0.591806,0.191403,-0.165201,-0.133096,0.257415,0.022229,-0.430753,0.214460,-0.099832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0.475000,-0.601185,0.185580,-0.155848,-0.140602,0.251516,0.027284,-0.439471,0.208975,-0.092079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.483333,-0.610697,0.180109,-0.146318,-0.148039,0.245865,0.031701,-0.448383,0.203238,-0.084198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0.491667,-0.620359,0.174961,-0.136841,-0.155473,0.240617,0.036109,-0.457259,0.198017,-0.076355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
